"id","firmbr","firm","brand","city","year","quarter","share","constant","price","sugar","mushy","z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","z13","z14","z15","z16","z17","z18","z19","z20"
100400000,1004,1,4,1,88,1,0.012417,1,0.072088,2,1,-0.21597,0.040573,-3.2479,-0.52394,-0.23246,0.0068327,3.1397,-0.57479,0.20622,0.17747,2.1164,-0.15471,-0.0057964,0.014538,0.12624,0.067345,0.068423,0.0348,0.12635,0.035484
100600000,1006,1,6,1,88,1,0.0078094,1,0.11418,18,1,-0.24524,0.054742,-19.832,-0.18052,0.014689,0.0007988,0.28765,0.03294,0.10512,-0.28756,-7.3741,-0.57641,0.012991,0.076143,0.029736,0.087867,0.1105,0.087784,0.049872,0.072579
100700000,1007,1,7,1,88,1,0.012995,1,0.13239,4,1,-0.17646,0.046596,-2.8785,-0.28422,-0.21554,-0.031869,2.8863,-0.74976,-0.47896,0.21474,2.1879,-0.20735,0.0035093,0.091781,0.16377,0.11188,0.10823,0.086439,0.12235,0.10184
100900000,1009,1,9,1,88,1,0.00577,1,0.13034,3,0,-0.1214,0.04876,-2.0599,-0.32841,-0.22207,-0.031474,4.4531,0.25568,-0.47297,0.3561,2.7046,0.040748,-0.0037243,0.094732,0.13527,0.08809,0.10177,0.10178,0.11074,0.10433
101100000,1011,1,11,1,88,1,0.017934,1,0.15482,12,0,-0.13261,0.039628,-6.1376,-0.13863,-0.18937,-0.043747,-3.5547,0.13882,-0.68868,0.26027,1.2612,0.034836,-0.00056764,0.10245,0.13064,0.084818,0.10107,0.12517,0.13346,0.12111
101300000,1013,1,13,1,88,1,0.026602,1,0.13705,14,0,-0.1535,0.042988,-8.4173,0.0078291,-0.1385,-0.021058,-2.7595,0.050201,-0.27344,0.12731,0.33755,0.02351,0.00026378,0.08628,0.072336,0.022251,0.10564,0.11604,0.099651,0.10573
101700000,1017,1,17,1,88,1,0.025015,1,0.14421,3,1,-0.16435,0.044922,-2.3893,-0.15697,-0.21515,-0.045543,4.3441,-0.85874,-0.7337,0.24652,2.6175,-0.19558,0.0044887,0.09415,0.13847,0.11027,0.10119,0.10608,0.14359,0.12097
1.03e+08,1030,1,30,1,88,1,0.005058,1,0.12819,4,0,-0.11817,0.049645,-2.314,-0.31754,-0.22353,-0.029128,3.2751,0.23549,-0.42921,0.36744,2.5911,0.044275,-0.0045627,0.10883,0.13549,0.12818,0.059036,0.08544,0.044623,0.097111
104500000,1045,1,45,1,88,1,0.0053318,1,0.14961,14,0,-0.14438,0.042091,-8.1647,-0.022463,-0.15265,-0.029185,-3.3269,0.072494,-0.41624,0.15872,0.48981,0.026016,-6.5687e-05,0.1143,0.11637,0.14162,0.095104,0.1221,0.13122,0.11901
200500000,2005,2,5,1,88,1,0.038068,1,0.10851,1,0,-0.11647,0.060361,-2.51,-0.3258,-0.22814,-0.0070796,6.4731,0.25525,-0.01839,0.37926,2.7279,0.035499,-0.0078438,0.083079,0.020242,-0.020562,0.064436,0.082678,-0.0073394,0.072053
200800000,2008,2,8,1,88,1,0.0083477,1,0.13229,11,0,-0.13308,0.043257,-5.0998,-0.10026,-0.18936,-0.027161,-2.6033,0.11135,-0.39019,0.2726,1.6543,0.030661,-0.0030865,0.078768,0.051581,0.14424,0.1192,0.096099,0.11201,0.10977
201500000,2015,2,15,1,88,1,0.0065962,1,0.11208,4,1,-0.19042,0.045827,-3.04,-0.43662,-0.21813,-0.015748,2.3655,-0.64747,-0.18746,0.18504,1.9774,-0.20077,0.00088499,0.082027,0.039547,-0.0075257,0.11288,0.080914,0.16427,0.069228
201600000,2016,2,16,1,88,1,0.030117,1,0.11526,3,1,-0.18496,0.048672,-2.8332,-0.31071,-0.22051,-0.017163,3.5646,-0.72234,-0.21079,0.21222,2.3614,-0.19478,0.00036502,0.075633,0.14333,0.096903,0.076504,0.07414,0.11823,0.091322
201900000,2019,2,19,1,88,1,0.10005,1,0.11088,13,0,-0.16765,0.040225,-7.5866,0.028385,-0.12977,-0.012348,-2.0792,0.032756,-0.13213,0.11782,0.51527,0.019925,0.00043546,0.05421,0.020932,0.093363,0.10618,0.078308,0.062046,0.070753
202600000,2026,2,26,1,88,1,0.013234,1,0.12811,13,0,-0.15149,0.042105,-7.2004,-0.00034491,-0.14954,-0.01946,-2.6165,0.05616,-0.25004,0.16081,0.78612,0.022763,-0.00072724,0.083028,0.07908,0.078624,0.11946,0.083169,0.055775,0.08714
202800000,2028,2,28,1,88,1,0.023643,1,0.17483,16,1,-0.079155,0.035822,-11.571,-0.76045,-0.13261,-0.028673,-2.5135,-0.23961,-0.38302,-0.062897,-3.2263,-0.38612,0.019541,0.1393,0.16214,0.14585,0.076467,0.13154,0.11577,0.13867
2.04e+08,2040,2,40,1,88,1,0.008662,1,0.13364,10,0,-0.12695,0.044391,-4.4874,-0.15677,-0.20251,-0.030328,-2.1991,0.1391,-0.44875,0.31186,1.9017,0.035749,-0.0036371,0.087759,0.026803,0.10308,0.12434,0.097398,0.075139,0.099846
204800000,2048,2,48,1,88,1,0.0026995,1,0.14742,3,0,-0.12835,0.037397,-1.8275,-0.33533,-0.21738,-0.052053,4.6486,0.28082,-0.85834,0.33035,2.7498,0.036033,0.00051102,0.10995,0.14365,0.15149,0.061937,0.10125,0.10993,0.12234
300600000,3006,3,6,1,88,1,0.018943,1,0.1098,20,1,-0.34684,0.056173,-25.851,0.0071621,0.075868,0.0062568,1.9032,0.13057,0.20008,-0.37603,-10.23,-0.65384,0.014028,0.066897,0.064539,0.0068501,0.063556,0.065338,0.10949,0.072031
301400000,3014,3,14,1,88,1,0.010846,1,0.13696,7,0,-0.11963,0.046634,-3.3814,-0.28015,-0.21918,-0.037136,0.20937,0.20531,-0.57605,0.35797,2.2703,0.04587,-0.0034014,0.089845,0.054778,0.094752,0.12332,0.11981,0.082449,0.09796
400200000,4002,4,2,1,88,1,0.0078499,1,0.17513,14,0,-0.13482,0.034487,-8.0409,-0.11501,-0.17696,-0.05476,-4.7258,0.13238,-0.8834,0.21454,0.56927,0.032858,0.0020129,0.1239,0.13064,0.090391,0.16388,0.14523,0.12122,0.14873
